year,malek,femalek,totalk,GNI
1990,157.91,29.89,187.8,23730
1991,155.14,28.63,183.77,24180
1992,149.35,28.42,177.77,25180
1993,150.79,28.33,179.12,26000
1994,148.86,27.17,176.03,27350
1995,146.36,26.73,173.09,28550
1996,140.66,25.79,166.45,29980
1997,135.9,26.06,161.96,31620
1998,134.78,25.73,160.51,33230
1999,126.72,24.05,150.77,34850
2000,123.62,22.96,146.58,36930
2001,124.96,23.26,148.22,37860
2002,125.95,24.07,150.02,38590
2003,121.76,23.88,145.64,39960
2004,121.28,25.62,146.9,42260
2005,121.51,25.17,146.68,44740
2006,119.7,25.43,145.13,47390
2007,122.82,26.3,149.12,48420
2008,125.89,27.35,153.24,48640
2009,126.51,27.68,154.19,47250
2010,130.29,28.6,158.89,48900
2011,132.43,29.93,162.36,50810
2012,134.44,30.7,165.14,53110
2013,135.13,31.54,166.67,54340
2014,138.12,33.21,171.33,56730
2015,140.18,35.23,175.41,58300
