Country,CountryName,LifeExp,Gdp_Per_Capita,Suicides_P100K
Uzbekistan,Uzbekistan,70.005,18396,63.23
Uruguay,Uruguay,76.588,154584,257.43
United States,United States,78.54146341,623868,158.89
United Kingdom,United Kingdom,80.40243902,501576,77.41
United Arab Emirates,United Arab Emirates,76.344,443568,22.71
Ukraine,Ukraine,70.26536585,37692,263.07
Turkmenistan,Turkmenistan,66.657,59544,45.75
Turkey,Turkey,74.154,138300,31.69
Trinidad and Tobago,Trinidad and Tobago,69.756,216000,150.5
Thailand,Thailand,73.923,68484,80.5
Switzerland,Switzerland,82.24634146,941688,160.52
Sweden,Sweden,81.45121951,664224,146.54
Suriname,Suriname,70.335,110112,425.3
Spain,Spain,81.62682927,394068,87.44
South Africa,South Africa,55.888,97536,13.09
Slovenia,Slovenia,79.42195122,296268,265.59
Singapore,Singapore,81.54146341,793188,129.23
Seychelles,Seychelles,73.19756098,138756,51.99
Serbia,Serbia,74.33658537,68184,234.48
Russian Federation,Russian Federation,68.84121951,135684,319.21
Romania,Romania,73.45853659,98280,150.04
Qatar,Qatar,77.301,888660,12.83
Puerto Rico,Puerto Rico,78.40817073,339204,103.84
Portugal,Portugal,79.02682927,284076,148.84
Poland,Poland,76.24634146,159648,190.64
Philippines,Philippines,68.32,28944,36.96
Paraguay,Paraguay,72.285,43428,54.56
Panama,Panama,76.828,107892,64
Oman,Oman,75.694,256044,3.8
Norway,Norway,80.99756098,1123656,136.43
Nicaragua,Nicaragua,73.699,20580,88.74
New Zealand,New Zealand,80.70243902,433740,152.62
Netherlands,Netherlands,80.70243902,639624,109.49
Mexico,Mexico,76.096,119892,61.01
Mauritius,Mauritius,72.96731707,103044,111.83
Malta,Malta,81.39756098,265584,82.11
Maldives,Maldives,76.112,93672,1.99
Luxembourg,Luxembourg,80.63170732,1335936,141.16
Lithuania,Lithuania,73.26829268,151008,395.24
Latvia,Latvia,73.48292683,143412,259.34
Kuwait,Kuwait,73.979,422052,10.04
Kazakhstan,Kazakhstan,68.29536585,120744,320.81
Japan,Japan,82.84268293,564708,255.48
Jamaica,Jamaica,74.883,61200,1.16
Italy,Italy,82.03658537,442428,80.77
Israel,Israel,81.60243902,409248,99.47
Ireland,Ireland,80.74390244,624504,120.3
Iceland,Iceland,81.89756098,542148,184.27
Hungary,Hungary,74.20731707,165132,321.31
Guyana,Guyana,66.022,40608,403.07
Guatemala,Guatemala,71.494,39120,35.43
Grenada,Grenada,72.618,97416,0
Greece,Greece,80.38780488,334632,39.9
Germany,Germany,79.98780488,523368,152.17
Georgia,Georgia,72.649,33300,34.33
France,France,81.66341463,536964,211.17
Finland,Finland,79.87073171,587268,215.21
Estonia,Estonia,75.42926829,186480,229.07
El Salvador,El Salvador,71.902,39816,97.92
Ecuador,Ecuador,75.046,62472,81.49
Denmark,Denmark,79.1,740532,130.02
Czech Republic,Czech Republic,77.42439024,250344,175.62
Cyprus,Cyprus,79.43,389724,58.88
Cuba,Cuba,78.959,71964,202.13
Croatia,Croatia,76.47560976,170784,241.97
Costa Rica,Costa Rica,78.756,106872,84.35
Colombia,Colombia,73.325,82032,67.24
Chile,Chile,78.454,166488,162.88
Canada,Canada,81.24634146,599688,132.67
Bulgaria,Bulgaria,73.51219512,84792,158.25
Brazil,Brazil,73.838,145932,72.73
Belize,Belize,69.676,59076,61.48
Belgium,Belgium,80.18292683,568260,220.18
Belarus,Belarus,70.40487805,76452,331.98
Barbados,Barbados,74.973,204408,7.62
Bahrain,Bahrain,76.056,270864,11.89
Austria,Austria,80.5804878,590172,207.55
Australia,Australia,81.69512195,658644,132.64
Aruba,Aruba,75.016,311688,58.65
Armenia,Armenia,73.331,41520,40.41
Argentina,Argentina,75.595,135276,111.24
Albania,Albania,76.652,52308,41.66
