Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
12/4/17,11097.001,11100,11091,11099.999,1.85225116,20552.10092,11095.74196
12/3/17,10725.099,11537.209,10534.754,11097.001,1209.899184,13356729.03,11039.53884
12/2/17,10457.085,10873.53,10360.02,10725.099,1221.108838,13011612.01,10655.57108
12/1/17,9955.65,10636.115,9414,10474.17,2428.455094,24404861.78,10049.54213
11/30/17,9860.222,10467.438,9050,9955.582,2253.492007,22050702.34,9785.125605
11/29/17,9757.532,10999.999,8888.001,9900,3634.88002,36731480.45,10105.28002
11/28/17,9546.001,9889.248,9474.161,9775,2211.116358,21559785.82,9750.633764
11/27/17,9090,9589,9090,9547,1640.811245,15383666.87,9375.646901
11/26/17,8685,9318.255,8651.53,9081,1786.699303,15988872.56,8948.83237
11/25/17,8198.052,8699,8149.465,8693.99,1787.714765,15034112.22,8409.68174
11/24/17,8048.65,8317.123,7951.591,8200.54,1808.850837,14709135.14,8131.756823
11/23/17,8187.4,8208.45,8000,8048.65,1695.552592,13734948.68,8100.573669
11/22/17,8147.55,8338.45,8103,8187.4,2025.934337,16625833.69,8206.501755
11/21/17,8150,8500,7896.122,8144.11,2739.947624,22424118.68,8184.141362
11/20/17,7934.85,8170,7834.9,8141.39,2475.276573,19744230.9,7976.575676
11/19/17,7670.001,7980,7520,7893.7,1308.829555,10160170.56,7762.791209
11/18/17,7669.241,7795,7405.175,7671.159,715.9013001,5472806.332,7644.638068
11/17/17,7635.846,7801,7568,7650.807,1325.623822,10236042.22,7721.679444
11/16/17,7279.664,7497.999,7197.418,7410,1996.673649,14605867.74,7315.100166
11/15/17,6791.098,7322.49,6782.524,7281.847,3130.394138,22415174.92,7160.496068
11/14/17,6748.455,6954,6600,6786.407,1436.89023,9753763.207,6788.106013
11/13/17,6083.617,7123,6023.368,6740,3287.529739,21926515.95,6669.602312
11/12/17,6440.53,6690,5552.6,6110.996,4097.634932,25383742.05,6194.730001
